node_id,timestamp,datetime_readable,raw_adc,nilai_mm_s,kelembapan_pct,rssi,status
NODE_01,1784100918,2026-07-15 14:35:18,2578878,0.292,41.28,-68,AMAN
NODE_01,1784100978,2026-07-15 14:36:18,1073970,0.122,50.12,-52,AMAN
NODE_01,1784101038,2026-07-15 14:37:18,5514879,0.625,52.96,-74,AMAN
NODE_01,1784101098,2026-07-15 14:38:18,2024820,0.229,41.31,-57,AMAN
NODE_01,1784101158,2026-07-15 14:39:18,2340401,0.265,42.56,-74,AMAN
NODE_01,1784101218,2026-07-15 14:40:18,4392353,0.498,49.71,-62,AMAN
NODE_01,1784101278,2026-07-15 14:41:18,3591912,0.407,43.43,-81,AMAN
NODE_01,1784101338,2026-07-15 14:42:18,4457215,0.505,48.15,-80,AMAN
NODE_01,1784101398,2026-07-15 14:43:18,5027224,0.57,50.26,-46,AMAN
NODE_01,1784101458,2026-07-15 14:44:18,1423759,0.161,49.2,-50,AMAN
NODE_01,1784101518,2026-07-15 14:45:18,4007385,0.454,44.51,-84,AMAN
NODE_01,1784101578,2026-07-15 14:46:18,4199731,0.476,55.73,-46,AMAN
NODE_01,1784101638,2026-07-15 14:47:18,4449993,0.504,53.53,-72,AMAN
NODE_01,1784101698,2026-07-15 14:48:18,3247193,0.368,51.89,-80,AMAN
NODE_01,1784101758,2026-07-15 14:49:18,3707981,0.42,40.66,-52,AMAN
NODE_01,1784101818,2026-07-15 14:50:18,869177,0.098,49.4,-52,AMAN
NODE_01,1784101878,2026-07-15 14:51:18,3006642,0.341,52.74,-45,AMAN
NODE_01,1784101938,2026-07-15 14:52:18,4375531,0.496,52.43,-53,AMAN
NODE_01,1784101998,2026-07-15 14:53:18,2140244,0.242,46.08,-81,AMAN
NODE_01,1784102058,2026-07-15 14:54:18,3310919,0.375,46.37,-75,AMAN
NODE_01,1784102118,2026-07-15 14:55:18,1061550,0.12,53.7,-47,AMAN
NODE_01,1784102178,2026-07-15 14:56:18,3187857,0.361,40.85,-71,AMAN
NODE_01,1784102238,2026-07-15 14:57:18,672188,0.076,41.28,-49,AMAN
NODE_01,1784102298,2026-07-15 14:58:18,3456800,0.392,49.33,-82,AMAN
NODE_01,1784102358,2026-07-15 14:59:18,4924721,0.558,41.83,-63,AMAN
NODE_01,1784102418,2026-07-15 15:00:18,1024049,0.116,40.16,-56,AMAN
NODE_01,1784102478,2026-07-15 15:01:18,3120021,0.353,51.1,-55,AMAN
NODE_01,1784102538,2026-07-15 15:02:18,4423321,0.501,48.07,-61,AMAN
NODE_01,1784102598,2026-07-15 15:03:18,1678079,0.19,49.77,-52,AMAN
NODE_01,1784102658,2026-07-15 15:04:18,3489971,0.395,39.86,-64,AMAN
NODE_01,1784102718,2026-07-15 15:05:18,2407197,0.273,48.92,-65,AMAN
NODE_01,1784102778,2026-07-15 15:06:18,2992859,0.339,51.08,-68,AMAN
NODE_01,1784102838,2026-07-15 15:07:18,1999646,0.227,47.24,-69,AMAN
NODE_01,1784102898,2026-07-15 15:08:18,3432471,0.389,49.5,-81,AMAN
NODE_01,1784102958,2026-07-15 15:09:18,1952629,0.221,41.34,-76,AMAN
NODE_01,1784103018,2026-07-15 15:10:18,1837485,0.208,45.25,-50,AMAN
NODE_01,1784103078,2026-07-15 15:11:18,4319719,0.489,50.93,-66,AMAN
